author|quote|source
John Marmysz|There is no such thing as progress or regress. The world is not getting better and better, nor is it getting worse and worse. It is simply moving along into the future, reiterating in different configurations the patterns that have already occurred. We can’t help but play a role in this unfolding drama, but it is a mistake to think that what we do makes any difference to the grand scheme of things.|The Nihilist: A Philosophical Novel
Sigitas Parulskis|I am only a shadow, sitting by the gates of Hades beside that arrogant Ulyssestelling stories of my grievances to my father’s indifferent ghostwho, from time to time, gusts an ash wind at meand whispersson, for the nonsense you talk pour me even a drop of lifethis shit hole of eternitysuffocates terribly|
Kevin Focke|I think the suicide rate is so high among writers because we force ourselves to stand still, take an outsider’s perspective, and realise how quickly a life passes by, and how futile we are. The exhilarating upside is that at a moment’s glance all your worries fade away, and you can work on making the most of it.|
Arthur K. Flam|It's still strange.|
Jean Baudrillard|There is no more hope for meaning. And without a doubt this is a good thing: meaning is mortal. Appearances, they, are immortal, invulnerable to the nihilism. This is where seduction begins.|Simulacra and Simulation
Oli Anderson|I decided to give up meaningless sex, but then I remembered that everything is meaningless.|
Jean Baudrillard|What do Chile, Biafra, the boat people, Bologna, or Poland matter? All of that comes to be annihilated on the television screen. We are in the era of events without consequences (and of theories without consequences).|Simulacra and Simulation
Friedrich Nietzsche|I praise, I do not reproach, [nihilism's] arrival. I believe it is one of the greatest crises, a moment of the deepest self-reflection of humanity. Whether man recovers from it, whether he becomes master of this crisis, is a question of his strength.|Complete Works of Friedrich Nietzsche
I.S Turgheniev|Eu înclin spre negativism în virtutea senzaţiilor.Simt plăcerea de a nega,pentru că aşa mi-e alcătuit creierul,basta!|
Fyodor Dostoyevsky|"....I don't want harmony. From love for humanity I don't want it. I would rather be left with the unavenged suffering. I would rather remain with my unavenged suffering and unsatisfied indignation, even if I were wrong. Besides, too high a price is asked for harmony; it's beyond our means to pay so much to enter on it. And so I hasten to give back my entrance ticket, and if I am an honest man I am bound to give it back as soon as possible. And that I am doing. It's not God that I don't accept, Alyosha, only I most respectfully return him the ticket.""-Ivan Karamazov"|
Friedrich Nietzsche|I praise, I do not reproach, [nihilism's] arrival. I believe it is one of the greatest crises, a moment of the deepest self-reflection of humanity. Whether man recovers from it, whether he becomes master of this crisis, is a question of his strength|
Severo Sarduy|El universo -recitaba el enano como si estuviera en una habitación hexagonal y blanca, acariciando un pelícano atragantado con un salmón coleante-, es obra de un dios apresurado y torpe. Su pretensión lo llevó a concebir cosas sublimes, rosadas y con pisos, como un cake helado de La Gran Vía; también le salieron -añadía, señalando con un índice oscilante, de falanges hinchadas como canutos, a la Tremenda, con una musaraña repugnante, como si le pegaran a la cara una papaya abierta- mamarrachos como éste: un pedazo de carne con marvelline en los ojos. Nuestro propósito -concluía exaltado-: el caos total. Terminar con esta jarana de mal gusto que todo rememora, desde las auroras boreales hasta la tortilla tahitiana.|Maitreya
Ray Bradbury|Užitak je bio paliti. Osobit je užitak bio gledati kako stvari nestaju, kako crne i mijenjaju se. S bakrenom štrcaljkom u rukama, tim velikim udavom koji svoj otrovni petrolej pljuje u svijet, krv mu je udarala u glavi, a ruke su mu bile ruke nekakvog čudesnog dirigenta koji izvodi sve simfonije plamsanja i paljenja kako bi satro ostatke i pougljenjele ostatke povijesti. Sa simboličnim šljemom s brojkom 451 na ravnodušnoj glavi i očima punim narančastog ognja pri pomisli na ono što slijedi, kvrcnuo je upaljač i kuća je poskočila od pohlepne vatre koja je večernje nebo obojila crvenilom, žutilom i crnilom. Koraknuo je u roj krijesnica. Poželio je više od svega da, kao u staroj šali, u ovu peć gurne sljez na štapu dok na verandi i travnjaku poput golubova uzlepetalih krila umiru knjige i u iskričavim kovitlacima uzlijeću i nestaju s vjetrom potamnjelim od paljenja.|Fahrenheit 451
Marty Rubin|If you believe in nothing else, believe in your freedom.|
Giovanni Papini|Life to be bearable must be lived intensely. Through it a continuous stream of emotion passes. Though that emotion is ever changing as flowing water changes, it at least bears us along on a current that gives the illusion of continuity and permanence. But analyze life, tear its trappings off, lay it bare with thought, with logic, with philosophy, and its emptiness is revealed as a bottomless pit; its nothingness frankly confesses to nothingness, and Despair comes to perch in the soul.|
Johnny Rich|In the chain of events, it is arbitrary to be sentimental about the passing of any one link.|The Human Script
Mokokoma Mokhonoana|The continuation of man’s life is more attributable to his fear of death than it is to his desire to live. As a matter of fact, in countless cases, it is attributable to only the former.|
Jean-Paul Sartre|Thus it amounts to the same thing whether one gets drunk alone or is a leader of nations.|Being and Nothingness
Aldous Huxley|"But if one doesn't really exist, one wonders why..."" she hesitated.""Why one makes such a fuss about things,"" Anthony suggested. ""All that howling and hurrahing and gnashing of teeth. About the adventures of a self that isn't really a self—just the result of a lot of accidents. And of course,"" he went on, ""once you start wondering, you see at once that there is no reason for making such a fuss. And then you don't make a fuss—that is, if you're sensible. Like me,"" he added, smiling."|Eyeless in Gaza
Andrew Coyne|A society that believes in nothing can offer no argument even against death. A culture that has lost its faith in life cannot comprehend why it should be endured.|
Steven Erikson|If all we seek is an escape, what does that say about the world we live in. We are desperate with our dreams. What - oh, what - does that say?|The Crippled God
Robert C. Solomon|Nietzsche says very clearly all the way through his career that if you want to define human nature the first thing you must say is that human beings insist on value--we see the world through value colored eyes. We do not know how to look at things neutrally, value-free. So, it's not a question of giving up all values, it's simply a question of which values.|Will to Power: The Philosophy of Friedrich Nietzsche
Marty Rubin|Better to find one thing to live for than a thousand things to be against.|
Fuminori Nakamura|Happiness is a fortress.|Evil and the Mask
Dean Cavanagh|Nihilism, there's really nothing to it.|
Jean-Paul Sartre|...freedom only gives you something to be sorry for.|
Mitchell Heisman|I might be a nihilist except that I don’t believe in anything.|
Dean Cavanagh|The born again nihilist has nothing to blame for their fall|
Friedrich Nietzsche|It is intoxicating joy for the sufferer to look away from his suffering and to forget himself.|Thus Spoke Zarathustra
Emil Cioran|من دون الإله كل شيء ليل, و معه حتى النور يصبح عديم الجدوى. التصوف اقتحام المطلق للتاريخ. إنه مثل الموسيقى, إكليل كل ثقافة, و مبررهـا الأخير|لو كان آدم سعيداً
Yukio Mishima|The philosophy that prepares a revolution and the sentiment that underpins the philosophy have, in every case the two pillars of nihilism and mysticism.|
Yevgeny Zamyatin|I must note here that even among us the process of the hardening, the crystallization of life has evidently not been completed; there are still some steps to be ascended before we reach the ideal. The ideal (clearly) is the condition where nothing happens any more.|We
Yevgeny Zamyatin|I must note here that even among us the process of the hardening, the crystallization of life has evidently not yet been completed; there are still some steps to be ascended before we reach the ideal. The ideal (clearly) is the condition where nothing happens ant more.|We
Arnold Geulincx|Ubi nihil vales, ibi nihil velis|
Anton Chekhov|MASHA. Just think, I am already beginning to forget her face. People will not remember us either. They will forget.VERSHININ. Yes. They will forget. That is our fate, you can't do anything about it. The things which to us seem serious, significant, very important, - the time will come - they will be forgotten or they will seem of no consequence.|The Three Sisters
Arnold Geulincx|Ubi nihil vales, ibi nihil velis: where you are worth nothing, there you should want nothing|
John Marmysz|In all of its operations, cinema ceaselessly strives, and fails, to make present a world hopelessly beyond grasp. For this reason cinema is, in its very nature, a nihilistic medium.|
William Barrett|The deflation, or flattening out, of values in Modern art does not necessarily indicate an ethical nihilism. Quite the contrary; in opening our eyes to the rejected elements of existence, art may lead us to a more complete and less artificial celebration of the world.|Irrational Man: A Study in Existential Philosophy
Anton Chekhov|But then there's loneliness. However you might philosophise about it, loneliness is a terrible thing, my dear fellow… Although in reality, of course, it's absolutely of no importance!|The Three Sisters
Jaś Kapela|Gdyby wszyscy myśleli tak samo jak ja, nikt nigdy nie wyszedłby ze swojego pokoju.I byłby to dobry świat. W którym nie byłoby wojen, gwałtów ani dzieci nienarodzonych.Prawdopodobnie nic by nie było.I to byłoby dobre.Dobro to nieobecność zła.Albo jakoś tak.|Janusz Hrystus
Sreten Ugričić|Reagovala je na bol, na saznanje da nema roditelja, da nema dece, da ni ovaj čovek koji tvrdi da joj je otac nema dece, da ni on nema roditelja, da na svetu nema bliskosti, nema prepoznavanja.|Neznanom junaku
Anne Carson|But when justice is done the world drops away.|Autobiography of Red
Andrew Deaville|Do as you will, for there is nothing to be done.|
Matthew Selwyn|We can’t handle absence anymore, anything is better than the blankness; the quiet of nothingness. People fight to put images of love and hate – both equally nauseating – between themselves and the blank space that surrounds us. It’s the only escape, and yet we feel the pressure of the blankness pressing in against us, forcing the violent display ever closer, forcing us to demand images brighter, more graphic until they scorch our senses badly enough that we no longer feel the void and the images become our reality. But it’s ok. Most people don’t need to fear absence anymore – we’re blinded, permanently. There’s no need to seek out the light show that protects us either; inoculation precedes the sickness now. Sedation isn’t an option, it’s a shared reality. Most people don’t see the beauty of the system, how perfect our salvation is.|****: The Anatomy of Melancholy
Shane Weller|Ubi nihil vales, ibi nihil velis: where you are worth nothing, there you should want nothing|A Taste For The Negative: Beckett And Nihilism
Emil Cioran|Верный способ не сойти с ума в иных обстоятельствах: вспомнить о нереальности всего окружающего и не расставаться с этим...|
Virginie Despentes|What's disappointing is that it's just another mold, you leave one cliche and end up right back in another. Not really that subversive or out of control.|Baise-Moi
Sarah Kane|There's not a drug on earth can make life meaningful|4.48 Psychosis
Anthon St. Maarten|We have created a manic world nauseous with the pursuit of material wealth. Many also bear their cross of imagined deprivation, while their fellow human beings remain paralyzed by real poverty. We drown in the thick sweetness of our sensual excess, and our shameless opulence, while our discontent souls suffocate in the arid wasteland of spiritual deprivation.|
Blaise Cendrars|you make me laugh, with your metaphysical anguish, its just that you're scared silly, frightened of life, of men of action, of action itself, of lack of order. But everything is disorder, dear boy. Vegetable, mineral and animal, alldisorder, and so is the multitude of human races, the life of man, thought,history, wars, inventions, business and the arts, and all theories, passionsand systems. Its always been that way. Why are you trying to make something outof it? And what will you make? what are you looking for? There is no Truth.There's only action, action obeying a million different impulses, ephemeralaction, action subjected to every possible and imaginable contingency andcontradiction, Life. Life is crime, theft, jealousy, hunger, lies, disgust,stupidity, sickness, volcanic eruptions, earthquakes, piles of corpses. what can you do about it, my poor friend?|
Ivan Turgenev|I look up to heaven only when I want to sneeze.|Fathers and Sons
Blaise Cendrars|what are you looking for? There is no Truth. There's only action, action obeying a million different impulses, ephemeral action, action subjected to every possible and imaginable contingency and contradiction, Life. Life is crime, theft, jealousy, hunger, lies, disgust,stupidity, sickness, volcanic eruptions, earthquakes, piles of corpses. what can you do about it, my poor friend?|Moravagine
Karen Armstrong|The new atheists show a disturbing lack of understanding of or concern about the complexity and ambiguity of modern experience, and their polemic entirely fails to mention the concern for justice and compassion that, despite their undeniable failings, has been espoused by all three of the monotheisms. Religious fundamentalists also develop an exagerrated view of their enemy as the epitome of evil. This tendency makes critique of the new atheists too easy. They never discuss the work of such theologians as Bultmann or Tillich, who offer a very different view of religion and are closer to mainstream tradition than any fundamentalist. Unlike Feurerbach, Marx and Freud, the new atheists are not theologically literate. As one of their critics has remarked, in any military strategy it is essential to confront the enemy at its strongest point; failure to do so means that their polemic remains shallow and lacks intellectual depth. It is also morally and intellectually conservative. Unlike Feurerback, Marx, Ingersoll or Mill, these new Atheists show little concern about the poverty, injustice and humiliation that has inspired many of the atrocities they deplore; they show no yearning for a better world. Nor, like Nietzsche , Sartre or Camus, do they compel their readers to face up to the pointlessness and futility that ensue when people lack the resources to create a sense of meaning. They do not appear to consider the effect of such nihilism on people who do not have privileged lives and absorbing work.|The Case for God
Vjay Prozak|As a nihilist, I recognize that meaning does not exist. If we exterminate ourselves as a species, and vaporize our beautiful world, the universe will not cry with us (a condition called the pathetic fallacy). No gods will intervene. It will just happen and then — and then the universe will go on. We will not be remembered. We will simply not be.|
Woody Allen|One day about a month ago, I really hit bottom. You know, I just felt that in a Godless universe, I didn't want to go on living. Now I happen to own this rifle, which I loaded, believe it or not, and pressed it to my forehead. And I remember thinking, at the time, I'm gonna kill myself. Then I thought, what if I'm wrong? What if there is a God? I mean, after all, nobody really knows that. But then I thought, no, you know, maybe is not good enough. I want certainty or nothing. And I remember very clearly, the clock was ticking, and I was sitting there frozen with the gun to my head, debating whether to shoot.[The gun fires accidentally, shattering a mirror] All of a sudden, the gun went off. I had been so tense my finger had squeezed the trigger inadvertently. But I was perspiring so much the gun had slid off my forehead and missed me. And suddenly neighbors were, were pounding on the door, and, and I don't know, the whole scene was just pandemonium. And, uh, you know, I-I-I ran to the door, I-I didn't know what to say. You know, I was-I was embarrassed and confused and my-my-my mind was r-r-racing a mile a minute. And I-I just knew one thing.I-I-I had to get out of that house, I had to just get out in the fresh air and-and clear my head. And I remember very clearly, I walked the streets. I walked and I walked. I-I didn't know what was going through my mind. It all seemed so violent and un-unreal to me. And I wandered for a long time on the Upper West Side, you know, and-and it must have been hours. You know, my-my feet hurt, my head was-was pounding, and-and I had to sit down. I went into a movie house. I-I didn't know what was playing or anything.I just, I just needed a moment to gather my thoughts and, and be logical and put the world back into rational perspective. And I went upstairs to the balcony, and I sat down, and, you know, the movie was a-a-a film that I'd seen many times in my life since I was a kid, and-and I always, uh, loved it. And, you know, I'm-I'm watching these people up on the screen and I started getting hooked on the film, you know. And I started to feel, how can you even think of killing yourself. I mean isn't it so stupid? I mean, l-look at all the people up there on the screen. You know, they're real funny, and-and what if the worst is true.What if there's no God, and you only go around once and that's it. Well, you know, don't you want to be part of the experience? You know, what the hell, it's-it's not all a drag. And I'm thinkin' to myself, geez, I should stop ruining my life - searching for answers I'm never gonna get, and just enjoy it while it lasts. And, you know, after, who knows? I mean, you know, maybe there is something. Nobody really knows. I know, I know maybe is a very slim reed to hang your whole life on, but that's the best we have. And then, I started to sit back, and I actually began to enjoy myself.|
Hermann Hesse|Era linistitor sa stiu ca seara nu voi mai trai.|Gertrude
Thomas Ligotti|All of the myths of mankind are nothing but show business,' the other man said to me during our initial meeting. 'Everything that we supposedly live by and supposedly die by — whether it's religious scriptures or makeshift slogans — all of it is show business. The rise and fall of empires — show business. Science, philosophy, all of the disciplines under the sun, and even the sun itself, as well as all those other clumps of matter wobbling about in the blackness up there —' he said to me, pointing out the window beside the coffee-shop booth in which we sat, 'show business, show business, show business.' 'And what about dreams?' I asked, thinking I might have hit upon an exception to his dogmatic view, or at least one that he would accept as such. 'You mean the dreams of the sort we are having at this moment or the ones we have when we're fortunate enough to sleep?|Teatro Grottesco
Friedrich Nietzsche|Nihilism is…not only the belief that everything deserves to perish; but one actually puts one shoulder to the plough; one destroys.|
Jeffrey Fischer|humanity suffers terribly from the demons it has created over lengths of time. we learn from nothing that we do. we create religions, heritage, race, traditions, then they all in turn become our stumbling blocks from becoming one. we suffer from the creations of our own inability to interpret history. the only thing we have succeded on is seperation.we are not that different from one another as we think we are. but we are too corrupted to break our deconstruction.|
Renzo Novatore|Mine is an enthusiastic and dionysian pessimism, like a flame that sets my vital exuberance ablaze, that mocks at any theoretical, scientific or moral prison.|
Fyodor Dostoyevsky|"Why, the whole world of knowledge is not worth that child's prayer to 'dear, kind God'! I say nothing of the sufferings of grown-up people, they have eaten the apple, damn them, and the devil take them all! But these little ones!The Brothers KaramazovIvan to Alyosha, on the suffering and torture of children, ""Book V - Pro and Contra, Chapter 4 - Rebellion."|
Renzo Novatore|My motto is: walk expropriating and igniting, always leaving behind me howls of moral offenses and smoking trunks of old things.|
Renzo Novatore|...only the one who knows and practices the iconoclastic fury of destruction can possess the joy born of freedom, of that unique freedom fertilized by sorrow. I rise up against the reality of the outer world for the triumph of the reality of my inner world. I reject society for the triumph of the I. I reject the stability of every rule, every custom, every morality, for the affirmation of every willful instinct, all free emotionality, every passion and every fantasy. I mock at every duty and every right so I can sing free will. I scorn the future to suffer and enjoy my good and my bad in the present. I despise humanity because it is not my humanity. I hate tyrants and I detest slaves. I don't want and I don't grant solidarity, because I am convinced that it is a new chain, and because I believe with Ibsen that the one who is most alone is the strongest one. This is my Nihilism.|
Mort W. Lumsden|"Don't most astrophysicists now predict some ""end of the line"" - an end to it all? Not just the death of things, but the annihilation of everything. Some great contraction, or collapse. Or, perhaps, some vast dissipation into eternal emptiness. Maybe it's all swallowed up by an immense black hole, which then swallows itself. But, whatever the case, their extinction is inevitable and absolute. So complete as to erase any and all evidence that this reality - this existence - ever took place. So complete that, perhaps, for all intents and purposes, it never really did. (attrib: F.L. Vanderson)"|Citations: A Brief Anthology
Ştefan Bolea|O furie de-a mea v-ar îngropa pe toţi în balele nimicului, un singur suflu de-al meu v-ar doborî în esenţa vidului, un pumn de-al meu v-ar descompune în mii şi mii de particule de lavă…|Caietul Roxanei şi alte Jurnale
Hunter S. Thompson|This place is like the Army: the shark ethic prevails--eat the wounded. In a closed society where everybody's guilty, the only crime is getting caught. In a world of thieves, the only final sin is stupidity.|Fear and Loathing in Las Vegas
Anthony Marais|Somethingism is better than nihilism.|Delusionism
Anonymous|ما هِيَ إِلَّا حَيَاتُنَا الدُّنْيَا نَمُوتُ وَنَحْيَا وَمَا يُهْلِكُنَا إِلَّا الدَّهْرُ .|The Quran / القرآن الكريم
Nathaniel Hawthorne|Possibly, some cynic, at once merry and bitter, had desired to signify, in this pantomimic scene, that we mortals, whatever our business or amusement--however serious, however trifling--all dance to one identical tune, and, in spite of our ridiculous activity, bring nothing finally to pass.|The House of the Seven Gables
Ştefan Bolea|Non-semnificaţia iubirilor mele & nonşalanţa cu care au fost ele aruncate la gunoi mi-au ciopârţit în primul rând sufletul, mi-au provocat acea stupefacţie care mi-a umplut nebunia cu vitriol.|Caietul Roxanei şi alte Jurnale
Emil Cioran|Só é saudável em nós aquilo pelo que não somos especificamente nós mesmos: são nossas aversões que nos individualizam; nossas tristezas que nos concedem um nome; nossas perdas que nos fazem possuidores de nosso eu. Só somos nós mesmos pela soma de nossos fracassos.|Breviário de Decomposição
Roland Jaccard|Lucrul despre care nu poți vorbi, trebuie trecut sub tăcere. Cu siguranță!Dar, în ultimă instanță, i-am putea replica lui Wittgenstein, pornind de la propria sa obiecție, că nu contează decât ceea ce poate fi spus, din moment ce discursurile nu sunt decât jocuri la care noi,ceilalți, trișori impenitenți, ne dedăm, având singura grijă de a-l înșela pe celălalt, când nu este vorba de a ne înșela pe noi înșine. Odată risipite vrăjile limbajului, nu mai rămâne decât tăcerea.Dar nu a fost niciodată nimeni atât de puternic încât să se închidă în această tăcere care este mormântul lui Dumnezeu. Să vrei să trăiești fără a bolborosi vreo rugăciune, fără a plănui vreo crimă, fără vreun delir în care să te închizi și să nu-ți vină să-ți zbori creierii. Nu ne sprijinim decât pe visurile care ne traversează.|Tentația nihilistă
Valerii A. Kuvakin|"Atheism ... goes back to the Ancient Greek (a — a negative prefix, theos — god), evidencing the antiquity of the outlook of those who saw no presence of God (or gods) in their everyday lives, or who even denied the very existence of God (or gods). There are different types of atheism, but atheism in one form or another has existed in every civilization.[T]he concept ""atheist"" partially coincides with such notions as ""skeptic,"" ""agnostic,"" and ""rationalist"" and it borders with such notions as ""anticlerical,"" ""God fighter"" (theomachist), and ""God abuser"" (blasphemer).It is wrong to identify an atheist as one who denies God, though this is what opponents of atheism usually claim. If such people exist, it would probably be more correct to call them the ""verbal"" murderers of God, for the prefix a- means denying as elimination. ... I would like to stress that the prefix a- does not necessarily mean rejection. It can mean ""absence of."" For example, ""apathy"" means ""absence of passion."" Thus, the concept ""atheist"" does not necessarily mean nihilism."|
Fernando Pessoa|E questo l'errore centraledell'immaginazione letteraria: essa suppone che gli altri sono noi e che devono sentirsi come noi. (Feltrinelli, Economica Universale Feltrinelli; p.43)|The Book of Disquiet
Karl Marlantes|But just below the grim tranquility he had learned to display, he cursed with boiling intensity the ambitious men who used him and his troops to further their careers. He cursed the air wing for not trying to get any choppers in through the clouds. He cursed the diplomats arguing about round and square tables. He cursed the South Vietnamese making money off the black market. He cursed the people back home gorging themselves in front of their televisions. Then he cursed God. Then there was no one else to blame and he cursed himself for thinking God would give a shit.|Matterhorn
Fyodor Dostoyevsky|But the conquest of fear was what fascinated them. The continual ecstasy of vanquishing and the consciousness that no one could vanquish them was what attracted them.|
Ştefan Bolea|Voi deveni ceea ce tot timpul am sperat să devin… Nimic.|Caietul Roxanei şi alte Jurnale
